Author,Section,Question,Answer
Diana Yuan,3.6,What is the COCA?,Corpus of Contemporary American English
Diana Yuan,3.6,How many bit hash numbers do large sets of n grams usually store each word as?,sixtyfour
Diana Yuan,3.6,How can n grams be shrunk?,pruning
Diana Yuan,3.6,What is used to build appropriate language models?,Bloom filters
Diana Yuan,3.6,What do efficient language model toolkits use?,sorted arrays
Diana Yuan,3.6,What is used when the full Knerser-ney smoothing is unnecessary?,The stupid backoff algorithm
Diana Yuan,3.7,What is the measure of information?,Entropy
Diana Yuan,3.7,What is the resulting entropy measured as?,lower bound on the number of bits it would take to encode a certain piece of information in the optimal coding scheme
Diana Yuan,3.7,What is the entropy of a sequence divided by the number of words?,The entropy rate or per-word entropy
Diana Yuan,3.7,"What theorem states that if the language is regular, the entropy of the given language would be the entropy of",Shannon-McMillan-Breiman theorem
Diana Yuan,3.7,What is stationary if the probabilities it assigns to a sequence are independent of the shifts in the time index?,The stochastic process
Diana Yuan,3.7,"What are stationary, but natural language is not stationary?",Markov models and n-grams
Diana Yuan,3.7,How can we compute the entropy of natural language?,taking a sufficiently long sample of the output to determine its average log probability
Diana Yuan,3.7,When is cross-entropy useful?,when the actual probability distribution p used to generate some data is unknown
Diana Yuan,3.7,What model of the probability distribution p is used to calculate the cross-entropy of m on p?,m
Diana Yuan,3.7,What would give a lower cross-entropy?,The more accurate model
Diana Yuan,3.7,The perplexity of a model P on a sequence of words W can be formally defined as what?,some exponential of the cross-entropy
Diana Yuan,4.0,What is the task of assigning a label or category to an entire text or document?,Text categorization
Diana Yuan,4.0,"What is the extraction of sentiment, the positive or negative orientation that a writer expresses towards some object?",Sentiment analysis
Diana Yuan,4.0,What is the binary classification task of assigning an email to either spam or not-spam?,Spam detection
Diana Yuan,4.0,What is the task of determining the language of a text?,Language id
Diana Yuan,4.0,"Related text classification tasks like what are relevant to digital humanities, social sciences, and forensic linguistics?",authorship attribution
Diana Yuan,4.0,What is the goal of classification?,"to take a single observation, extract some useful features, and classify the given observation into one of a set of discrete classes"
Diana Yuan,4.0,Who determines the rules of classification?,humans
Diana Yuan,4.0,Most classifications in language processing are done through what?,supervised machine learning
Diana Yuan,4.0,What is the goal of supervised machine learning?,learn a classifier that is capable of mapping from a new document to its correct class
Diana Yuan,4.0,What does a probabilistic classifier give?,probability of the observation being in the class
Diana Yuan,4.0,What type of classifiers return the class most likely to have generated some given observation?,Generative classifiers
Diana Yuan,4.0,Discriminative classifiers like what learn about the features of the input to discriminate between the different possible classes?,logistic regression
Diana Yuan,4.1,What is the simplifying assumption made by the multinomial naive Bayes classifier?,bag-of-words
Diana Yuan,4.1,What is a probabilistic classifier?,Naive Bayes
Diana Yuan,4.1,Who first applied the Bayesian inference to text classification?,Mosteller and Wallace
Diana Yuan,4.1,Naive Bayes generates words by sampling from what?,conditional probability
Diana Yuan,4.1,The class that has the greatest product of the prior probability and the likelihood is considered what?,the most probable class
Diana Yuan,4.1,What is the conditional independence assumption?,the probabilities of features given a class are independent and can be multiplied directly
Diana Yuan,4.1,Why are Naive Bayes calculations done in log space?,increase speed
Diana Yuan,4.1,Naive Bayes and linear regression belong to the class of linear classifiers that use what to make a classification decision?,lienar combination of inputs
Diana Yuan,4.2,What is calculated as the fraction of times a word appears among all words in all documents of a class?,The maximum likelihood estimate of the conditional probability
Diana Yuan,4.2,What would happen if a word gave a zero probability with maximum likelihood training?,probability of the entire class would evaluate to zero
Diana Yuan,4.2,What is the simplest solution to avoid a zero overall probability?,add-one (Laplace) smoothing
Diana Yuan,4.2,What do not occur in any training document in any class?,Unknown words
Diana Yuan,4.2,What are frequent words like the and a?,Stop words
Diana Yuan,4.2,How do some systems ignore stop words?,by sorting the vocabulary
Diana Yuan,4.4,What is another name for binary multinomial naive Bayes?,binary NB
Diana Yuan,4.4,When is binary NB more efficient?,when the existence of a word matters more than its frequency
Diana Yuan,4.4,How is negation dealt with in sentiment analysis?,prepending the prefix
Diana Yuan,4.4,"When there's insufficient labeled training data to train accurate naive Bayes classifiers, positive and negative word features can",sentiment lexicons
Diana Yuan,4.5,Features in naive Bayes may express what?,any property of the input text
Diana Yuan,4.5,What are features in naive Bayes for spam detection?,a set of likely words or phrases
Diana Yuan,4.5,What determines what language a given piece of information is written in?,Language ID
Diana Yuan,4.5,What are the most effective naive Bayes features for Language ID?,character n-grams or byte n-grams
Diana Yuan,4.5,What naive Bayes system uses feature selection to determine the most informative final features?,langid.py
Diana Yuan,4.5,What type of texts are Language ID systems trained on?,multilingual
Diana Yuan,4.5,What does the naive Bayes system add to Wikipedia?,slang websites
Diana Yuan,4.6,What are similar to language modeling in that they can be viewed as a set of class-specific unigram language models?,Naive Bayes models
Diana Yuan,4.6,What is the probability of a sentence being positive?,the total product of the individual probabilities that each word in the sentence is positive
Diana Yuan,4.7.0,What do gold labels do?,verify system outputs
Diana Yuan,4.7.0,What is a table for visualizing how an algorithm performs with respect to the human gold labels?,confusion matrix
Diana Yuan,4.7.0,What is calculated as the percentage of correct system output?,Accuracy
Diana Yuan,4.7.0,What measures the percentage of true gold-labeled positives out of all system-labeled positives?,Precision
Diana Yuan,4.7.0,What measures the percentage of true gold-labeled positives out of true positives and true negatives?,Recall
Diana Yuan,4.7.0,What is the F-measure expressed as?,Harmonic mean
Diana Yuan,4.7.1,What is a multi-class classification algorithm that can perform sentiment analysis beyond the positive and negative class?,The Naive Bayes algorithm
Diana Yuan,4.7.1,What can the Naive Bayes algorithm perform beyond the positive and negative classes?,sentiment analysis
Diana Yuan,4.7.1,What averages over the performance for each class?,Macroaveraging
Diana Yuan,4.8,What allows all data to be used for both training and testing?,Cross-validation
Diana Yuan,4.8,What does 10-fold cross-validation involve?,training the classifier on a set of randomly selected data
Diana Yuan,4.8,What does 10-fold cross-validation involve?,computing the error rate on the test set
Diana Yuan,4.8,What does cross-validation prohibit?,previewing the data
Diana Yuan,4.9.0,What compares the performance of multiple systems?,Statistical significance testing
Diana Yuan,4.9.0,What presents the degree to which system A is better than system B?,The effect size
Diana Yuan,4.9.0,The null hypothesis assumes that the effective size is what?,negative or zero
Diana Yuan,4.9.0,What attempts to rule out the null hypothesis?,statistical significance testing
Diana Yuan,4.9.0,What is the probability that the actual effect size is higher than it was in the hypothesis?,The p-value
Diana Yuan,4.9.0,A p-value below what threshold indicates that the result is statistically significant and the null hypothesis can be rejected?,0.05 or 0.1
Diana Yuan,4.9.0,NLP research usually use non-parametric tests based on what?,sampling
Diana Yuan,4.9.0,What are the two most common non-parametric tests in NLP?,approximate randomization and the bootstrap test
Diana Yuan,4.9.0,What compares two sets of observations that are aligned?,The paired version of the bootstrap test
Diana Yuan,4.9.1,What refers to drawing large numbers of smaller samples with replacement from an original large sample?,bootstrap test
Diana Yuan,4.10,What is crucial to avoid that exist both for naive Bayes classifiers and other classification algorithms?,harms
Diana Yuan,4.10,What type of harms are caused by a system that demeans a social group?,Representational
Diana Yuan,4.10,What is another class of harms that may exist in toxicity detection?,Censorship
Diana Yuan,4.10,Non-toxic sentences that simply mention what identifies can lead to the censoring discourses by or about minority groups.,minority
Diana Yuan,4.10,What could have replicated and amplified biases in their training data?,Machine learning systems
Diana Yuan,4.10,What is released with each version of a model and clarifies any flaws that the model might have?,A model card
